French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
aide,help
demande,request
laisser,let
car,because
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
vont,will
parle,speak
savais,knew
étaient,were
voici,here is
affaire,case
donner,give
type,type
donné,given
train,train
corps,body
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
tiens,here
enfant,child
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
belle,beautiful
aimerais,would like to
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
donne,given
loin,far
croire,believe
gros,large
filles,girls
jouer,to play
bureau,office
